Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS,,,,,,,,,,,,,,
51S-2.4,Star,7h00,-5.00,23-24.02.1987,10m,23h26,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
51S-3.4,Star,7h00,0.00,23-24.02.1987,10m,23h38,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
51S-2.5,Star,7h00,5.00,23-24.02.1987,10m,23h50,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
51S-3.5,Star,7h00,10.00,23-24.02.1987,10m,0h01,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
51S-2.6,Star,7h00,15.00,23-24.02.1987,10m,0h13,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
51S-3.6,Star,7h00,20.00,23-24.02.1987,10m,0h26,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
51S-2.3,Star,7h00,29.00,20-21.02.1987,14m,22h51,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
51S-3.3,Star,7h00,33.00,20-21.02.1987,14m,23h07,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
51S-2.4,Star,7h00,45.00,20-21.02.1987,,23h24,,9x12,Большой Шмидт,Солодовников В.В.,,+1grad,,,,,,,,,,,,,
51S-3.4,Star,7h00,50.00,20-21.02.1987,,23h36,,9x12,Большой Шмидт,Солодовников В.В.,,+1grad,,,,,,,,,,,,,
51S-3.4,Star,16h00,-3.00,26-27.07.1987,10m,3h30,,9x12,Большой Шмидт,Солодовников В.В.,"0. пятна, царапина",+1grad,,,,,,,,,,,,,
51S-2.7,Star,7h00,25.00,23-24.02.1987,10m,0h44,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
51S-3.7,Star,7h00,30.00,23-24.02.1987,10m,0h57,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
51S-2.8,Star,7h00,35.00,23-24.02.1987,10m,1h10,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
51S-3.8,Star,7h00,40.00,23-24.02.1987,10m,1h23,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
52S-2.1-397,Halley,16h32,-11.00,10-11.05.1986,12m,UT16h08,,9x12,Большой Шмидт,Солодовников В.В.,,time obs in  ut,,,,,,,,,,,,,
52S-3.1-398,Halley,16h32,-11.00,10-11.05.1986,12m,UT16h24,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
52S-2.2-399,Halley,16h32,-11.00,10-11.05.1986,12m,UT16h24,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
52S-3.2-400,Halley,16h32,-11.00,10-11.05.1986,12m,UT16h48,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
52S-2.3-401,Halley,16h32,-11.00,10-11.05.1986,12m,UT17h03,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
52S-3.3-402,Halley,16h32,-11.00,10-11.05.1986,12m,UT17h26,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
52S-st,Del,,,10-11.05.1986,12m,UT17h33,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
53S-2.1-391,Halley,10h37,-13.00,08-09.05.1986,15m,UT16h08,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
53S-3.1-392,Halley,10h37,-13.00,08-09.05.1986,15m,UT16h27,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
53S-2.2-393,Halley,10h37,-13.00,08-09.05.1986,15m,UT16h52,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
53S-3.2-394,Halley,10h37,-13.00,08-09.05.1986,15m,UT17h09,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
53S-2.3-395,Halley,10h37,-13.00,08-09.05.1986,15m,UT17h32,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
53S-3.3-396,Halley,10h37,-13.00,08-09.05.1986,15m,UT17h50,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
53S-st,Del,,,08-09.05.1986,15m,UT19h55,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
53S-cal,Calibrovka,,,08-09.05.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
54S-2.1-383,Halley,,,04-05.05.1986,14m,UT15h55,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
54S-3.1-384,Halley,,,04-05.05.1986,15m,UT16h14,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
54S-2.2-385,Halley,,,04-05.05.1986,15m,UT16h44,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
54S-3.2-386,Halley,,,04-05.05.1986,15m,UT17h03,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
54S-2.3-387,Halley,,,04-05.05.1986,15m,UT17h35,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
54S-3.3-388,Halley,,,04-05.05.1986,15m,UT17h55,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
54S-cal,Calibrovka,,,,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
54S-st,Del,,,04-05.05.1986,15m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
55S-2.1,Halley,10h34,-11.57,11-12.05.1986,12m,UT16h08,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
55S-3.1,Halley,10h34,-11.57,11-12.05.1986,12m,UT16h34,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
55S-2.2,Halley,10h34,-11.57,11-12.05.1986,12m,UT16h46,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
55S-3.2,Halley,10h34,-11.57,11-12.05.1986,12m,UT17h12,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
55S-2.3,Halley,10h34,-11.57,11-12.05.1986,12m,UT17h29,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
55S-3.3,Halley,10h34,-11.57,11-12.05.1986,12m,UT17h43,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
55S-cal1,Calibrovka,,,11-12.05.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
55S-cal2,Calibrovka,,,11-12.05.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
55S-st,Del,,,11-12.05.1986,12m,UT19h42,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
56S-2.1-376,Halley,10h44,-15.42,03-04.05.1986,15m,UT16h09,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
56S-3.1-377,Halley,10h44,-15.42,03-04.05.1986,15m,UT16h26,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
56S-2.2-378,Halley,10h44,-15.42,03-04.05.1986,15m,UT16h52,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
56S-3.2-379,Halley,10h44,-15.42,03-04.05.1986,15m,UT17h11,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
56S-2.3-380,Halley,10h44,-15.42,03-04.05.1986,15m,UT17h36,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
56S-3.3-381,Halley,10h44,-15.42,03-04.05.1986,15m,UT17h52,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
56S-2.4-382,Halley,10h44,-15.42,03-04.05.1986,15m,UT18h16,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
56S-st,Del,,,03-04.05.1986,15m,UT20h39,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
56S-cal1,Calibrovka,,,03-04.05.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
56S-cal2,Calibrovka,,,03-04.05.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
57S-2.1-371,Halley,10h52,-17.39,01-02.05.1986,15m,UT15h51,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
57S-st,Del,,,01-02.05.1986,15m,UT20h08,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
57S-3.1-372,Halley,10h52,-17.39,01-02.05.1986,15m,UT16h38,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
57S-2.2-373,Halley,10h52,-17.39,01-02.05.1986,15m,UT17h18,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
57S-3.2-374,Halley,10h52,-17.39,01-02.05.1986,15m,UT17h38,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
57S-2.3-375,Halley,10h52,-17.39,01-02.05.1986,15m,UT18h02,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
57S-cal,Calibrovka,,,01-02.05.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
58S-2.1-389,Halley,,,05-06.05.1986,15m,UT17h47,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
58S-3.1-390,Halley,,,05-06.05.1986,15m,UT18h05,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
58S-st,Del,,,05-06.05.1986,15m,UT19h20,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
58S-cal,Calibrovka,,,05-06.05.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
59S-310,Halley,,,30-31.12.1985,21m,19h42,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
59S-311,Halley,,,30-31.12.1985,21m,20h07,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
59S-312,Halley,,,30-31.12.1985,,21h02,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
59S-315,Halley,,,31.12.1985-01.01.1986,,20h20,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
59S-314,Halley,,,31.12.1985-01.01.1986,,19h49,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
59S-316,Halley,,,31.12.1985-01.01.1986,,20h46,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
59S-313-st,Del,,,31.12.1985-01.01.1986,24m,19h16,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
59S-cal1,Calibrovka,,,31.12.1985-01.01.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
60S-2.1-318,Halley,,,01-02.01.1986,15m,19h36,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
60S-2.2-320,Halley,,,01-02.01.1986,21m,20h22,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
60S-321,Halley,,,01-02.01.1986,,20h41,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
60S-325,Halley,,,02-03.01.1986,,20h22,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
60S-3.1-319,Halley,,,01-02.01.1986,21m,19h58,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
60S-st1,Del,,,01-02.01.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
60S-st2,Del,,,01-02.01.1986,24m,19h09,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
60S-cal,Calibrovka,,,01-02.01.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
61S-2.1-328,Halley,22h19,-2.05,03-04.01.1986,30m,19h36,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
61S-3.1-329,Halley,22h19,-2.05,03-04.01.1986,30m,20h08,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
61S-2.1-323,Halley,22h19,-2.05,02-03.01.1986,,19h33,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
61S-3.1-324,Halley,22h19,-2.05,02-03.01.1986,,19h56,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
61S-322-st1,Del,,,02-03.01.1986,,19h06,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
61S-326-st2,Ori,,,02-03.01.1986,,23h43,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
61S-327-st3,Del,,,03-04.01.1986,30m,18h59,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
61S-cal1,Calibrovka,,,02-03.01.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
61S-cal2,Calibrovka,,,03-04.01.1986,7m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
62S-331,Halley,22h07,-3.15,04-05.01.1986,,19h25,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
62S-332,Halley,22h07,-3.15,04-05.01.1986,,19h48,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
62S-344,Halley,22h01,-3.54,07-08.01.1986,15m,19h38,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
62S-345,Halley,22h01,-3.54,07-08.01.1986,10m,19h55,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
62S-2.1,Halley,,,09-10.01.1986,15m,DT19h09,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
62S-3.1,Halley,,,09-10.01.1986,15m,DT19h31,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
62S-cal1,Calibrovka,,,04-05.01.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
62S-cal2,Calibrovka,,,07-08.01.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
62S-330-st1,Del,,,04-05.01.1986,,18h54,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
62S-346-st2,Del,,,07-08.01.1986,15m,23h22,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
62S-333,Halley,,,04-05.01.1986,,20h11,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
63S-st,Pleiades,,,05-06.09.1986,40m,3h46,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
63S-3.10,NGC1499,04h03,36.25,05-06.09.1986,40m,5h30,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
63S-3.11,NGC7000,20h59,44.20,05-06.09.1986,40m,5h30,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
64S-2.1,Star,-14h35,-13.50,03-04.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
64S-3.1,Star,-14h35,-10.00,03-04.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
64S-2.2,Star,-14h35,40.00,03-04.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
64S-3.2,Star,-14h35,-44.00,03-04.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
64S-2.3,Star,-14h47,40.00,03-04.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
64S-3.3,Star,-14h47,-44.00,03-04.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
64S-2.4,Star,23h34,1.00,03-04.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
64S-3.4,Star,23h34,-44.00,03-04.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
65S-2.1,Star,0h00,-5.00,20-21.10.1988,15m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
65S-3.1,Star,0h00,-5.00,20-21.10.1988,14m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
65S-2.2,Star,0h04,51.00,20-21.10.1988,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
65S-3.2,Star,0h04,51.30,20-21.10.1988,11m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
65S-2.3,Star,1h00,36.00,20-21.10.1988,11m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
65S-3.3,Star,1h00,36.00,20-21.10.1988,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
65S-2.4,Star,1h00,30.00,20-21.10.1988,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
65S-3.8,Star,1h08,5.00,20-21.10.1988,14m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
65S-2.8,Star,1h00,-20.00,19-20.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
65S-3.4,Star,1h00,15.00,19-20.10.1988,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-2.1,Star,0h15,-5.00,19-20.10.1988,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-3.1,Star,0h00,20.00,19-20.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-2.2,Star,0h00,25.00,19-20.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-3.2,Star,0h00,30.00,19-20.10.1988,9m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-2.3,Star,0h00,35.00,19-20.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-3.3,Star,0h00,40.00,19-20.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-2.4,Star,0h00,45.00,19-20.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-3.4,Star,0h00,50.00,19-20.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-2.5,Star,1h00,50.00,19-20.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-3.5,Star,1h00,45.00,19-20.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-2.6,Star,1h00,40.00,19-20.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-3.6,Star,1h00,35.00,19-20.10.1988,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-2.7,Star,1h00,30.00,19-20.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
66S-3.7,Star,1h00,25.00,19-20.10.1988,7m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
67S-2.1,Star,16h00,-20.00,01-02.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
67S-3.1,Star,16h00,-15.00,01-02.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
67S-2.2,Star,16h00,-10.00,01-02.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
67S-3.2,Star,16h00,-5.00,01-02.07.1989,9.5m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
67S-2.3,Star,16h00,0.00,01-02.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
67S-3.3,Star,16h30,-15.00,01-02.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
67S-2.4,Star,21h53,-10.00,14-15.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
67S-3.3,Star,21h57,24.00,14-15.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
67S-1,Halley,,,21-22.03.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
67S-2-st,Del,,,21-22.03.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
68S-2.1,Star,0h07,-25.00,18-19.10.1988,9m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
68S-3.1,Star,0h00,-20.00,18-19.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
68S-2.2,Star,0h00,-15.00,18-19.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
68S-3.2,Star,0h00,-10.00,18-19.10.1988,9m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
68S-2.3,Star,0h00,-5.00,18-19.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
68S-3.3,Star,0h00,0.00,18-19.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
68S-2.4,Star,0h00,5.00,18-19.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
68S-3.4,Star,0h00,10.00,18-19.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
68S-2.5,Star,0h00,15.00,18-19.10.1988,8m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
69S-2.1,Star,14h36,-10.00,05-06.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
69S-3.1,Star,14h36,-15.00,05-06.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
69S-2.3,Star,18h00,-20.00,05-06.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
69S-3.3,Star,18h00,-15.00,05-06.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
69S-2.4,Star,18h00,-10.00,05-06.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
69S-3.4,Star,18h16,-10.00,05-06.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
69S-2.5,Star,18h16,-14.00,05-06.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
69S-3.5,Star,18h16,-18.00,05-06.07.1989,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-2.2,del-Cap,21h44,-16.21,17-18.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-1-st,Del,,,17-18.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-2-st,Del,,,17-18.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-3.1,Star,13h00,0.00,07-08.05.1987,12m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-2.1,zet-Aqr,22h29,-0.01,06-07.07.1987,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-3.1,sig-Sgr,18h55,-26.00,06-07.07.1987,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-2.2,gam-Del,20h46,16.07,02-03.07.1987,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-3.2,eta-Del,20h34,13.07,02-03.07.1987,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-3.3,Trifid-lagoon,,,02-03.07.1987,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-3.3,NGC281,00 49 29,56 17 37,06-07.07.1987,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-1,alf-Cyg,20h40,45.06,11-12.11.1985,40m,21h55,22h35,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-2,gam-Cyg,20h20,40.05,11-12.11.1985,40m,23h15,23h55,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-4,alf-Cyg,20h40,45.06,11-12.11.1985,40m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-3,gam-Cyg,20h20,40.05,11-12.11.1985,40m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-9-st,Del,,,11-12.11.1985,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-10-st,Del,,,11-12.11.1985,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-8-st,Del,,,11-12.11.1985,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-5-cal,Calibrovka,,,11-12.11.1985,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-6-cal,Calibrovka,,,11-12.11.1985,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
70S-7-cal,Calibrovka,,,11-12.11.1985,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
71S-2.1,Star,3h00,-28.00,17-18.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,0. темно,,,,,,,,,,,,,,
71S-3.1,Star,3h00,-18.00,17-18.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
71S-2.2,Star,3h00,-5.00,17-18.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
71S-3.2,Star,3h00,-2.50,17-18.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,0. разводы,,,,,,,,,,,,,,
71S-2.7,Star,3h00,73.00,17-18.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
71S-3.7,Star,3h00,87.50,17-18.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
71S-2.8,Star,3h00,87.50,17-18.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
71S-3.8,Star,3h00,49.00,17-18.11.1988,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
