Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC,DATE-OBS,EXPTIME,TIME-OBS (tзв-s),TIME-END,SIZE,TELESCOPE,OBSERVER,COMMENTS,,,,,,,,,,,,,,
9S-3.3,Star,0h00,-13.00,29-30.09.1987,10m,1h05,1h15,9x12,Большой Шмидт,Солодовников В.В.,,0h (-3grad),,,,,,,,,,,,,
9S-2.4,Star,0h00,-20.00,29-30.09.1987,10m,1h42,1h52,9x12,Большой Шмидт,Солодовников В.В.,0. царапины,0h (-2grad),,,,,,,,,,,,,
9S-3.4,Star,0h00,-14.00,29-30.09.1987,10m,1h55,2h05,9x12,Большой Шмидт,Солодовников В.В.,,0h00,,,,,,,,,,,,,
9S-2.5,Star,0h00,-20.00,29-30.09.1987,10m,2h05,2h15,9x12,Большой Шмидт,Солодовников В.В.,0. царапины,0h00,,,,,,,,,,,,,
9S-3.5,Star,0h00,5.00,29-30.09.1987,10m,2h19,2h29,9x12,Большой Шмидт,Солодовников В.В.,0. царапины,0h00,,,,,,,,,,,,,
9S-2.6,Star,0h00,9.00,29-30.09.1987,10m,2h32,2h42,9x12,Большой Шмидт,Солодовников В.В.,,0h (-1grad),,,,,,,,,,,,,
9S-3.6,Star,0h00,9.00,29-30.09.1987,10m,2h46,2h56,9x12,Большой Шмидт,Солодовников В.В.,,0h (+3grad),,,,,,,,,,,,,
9S-2.7,Star,0h00,81.00,29-30.09.1987,10m,3h02,3h12,9x12,Большой Шмидт,Солодовников В.В.,,0h (-5grad),,,,,,,,,,,,,
9S-3.7,Star,0h00,83.00,29-30.09.1987,10m,3h15,3h25,9x12,Большой Шмидт,Солодовников В.В.,,0h (-5grad),,,,,,,,,,,,,
10S-2.1,Star(Pegasus),23h00,25.00,16-17.08.1986,8m,3h12,3h20,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.1,Star(Pegasus),23h00,20.00,16-17.08.1986,8m,3h24,3h32,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.2,Star(alf Peg),23h00,15.00,16-17.08.1986,8m,3h42,3h50,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.2,Star,23h00,10.00,16-17.08.1986,8m,3h54,4h02,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.3,Star,23h00,3.00,16-17.08.1986,8m,4h08,4h16,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.3,Star,23h00,0.00,16-17.08.1986,8m,4h20,4h28,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.4,Star,23h00,-5.00,16-17.08.1986,8m,4h31,4h39,9x12,Большой Шмидт,Солодовников В.В.,0. пятна на пластинке,,,,,,,,,,,,,,
10S-3.4,Star,23h00,-9.00,16-17.08.1986,8m,4h43,4h51,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.5,Star,23h00,-15.00,16-17.08.1986,8m,4h55,5h03,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.5,Star,23h00,-21.00,16-17.08.1986,8m,5h06,5h14,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.3,Star(Cet),0h40,-3.00,15-16.08.1986,10m,2h32,2h42,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.3,Star(Cet/NGC15),0h40,-8.00,15-16.08.1986,10m,2h46,2h56,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.4,Star(Cet/NGC246),0h40,-13.00,15-16.08.1986,10m,3h02,3h12,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.4,Star(bet Cet),0h41,-18.00,15-16.08.1986,10m,3h17,3h27,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.5,Star(Cet/NGC253/NGC247),0h40,-23.00,15-16.08.1986,10m,3h32,3h42,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.5,Star(Cet/NGC253/NGC288),0h40,-26.00,15-16.08.1986,10m,3h47,3h57,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.6,Star(Cet),1h25,-8.00,15-16.08.1986,9m,4h03,4h12,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.6,Star(Cet),1h25,-21.50,15-16.08.1986,9m,4h18,4h27,9x12,Большой Шмидт,Солодовников В.В.,0. завсветка,,,,,,,,,,,,,,
10S-2.7,Star(Cet),0h00,-17.00,15-16.08.1986,10m,4h32,4h42,9x12,Большой Шмидт,Солодовников В.В.,0. пятна на пластинке,,,,,,,,,,,,,,
10S-3.7,Star(Cet),0h00,-11.00,15-16.08.1986,10m,4h47,4h57,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.8,Star(Cet),0h00,-6.00,15-16.08.1986,10m,5h01,5h11,9x12,Большой Шмидт,Солодовников В.В.,0. пятна на пластинке,,,,,,,,,,,,,,
10S-3.8,Star(Cet),0h00,-1.00,15-16.08.1986,10m,5h15,5h25,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.9,Star(Pisces),0h00,3.00,15-16.08.1986,10m,5h30,5h40,9x12,Большой Шмидт,Солодовников В.В.,0. пятна на пластинке,,,,,,,,,,,,,,
10S-2.2,Star(delta Pisces),0h40,7.00,15-16.08.1986,10m,2h07,2h17,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.2,Star(Cet),0h40,3.00,15-16.08.1986,10m,2h17,2h27,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.2,Trifid,18h00,-23.00,04-05.07.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.1-sky,zet Aqr,22h30,0.00,14-15.08.1986,11m,2h48,2h59,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.1-sky,iot Aqr,22h05,-14.50,14-15.08.1986,10m,3h25,3h35,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.2-sky,del Cet,2h40,0.50,14-15.08.1986,10m,3h37,3h47,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.2-sky,del Cet,2h40,3.00,14-15.08.1986,10m,3h41,3h51,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.4-sky,del Cet,2h40,-13.00,14-15.08.1986,10m,4h27,4h37,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-cal,Calibrovka,,,14-15.08.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-cal,Calibrovka,,,04-05.07.1986,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.4,M16,18h15,-13.80,04-05.07.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.1,omega M17,18 17 53,-16 11 42,04-05.07.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-3.4,STAR(Aqr),,,04-05.07.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
10S-2.1,eps Del,20 30 49,11 07 56,04-05.07.1986,10m,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
25S-2.1,Star,13h00,10.00,29-30.05.1982,10m,0h12,0h22,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
25S-3.1,Star,13h00,15.00,29-30.05.1982,10.5m,0h24,0h34.5,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
25S-2.2,Star,13h00,20.00,29-30.05.1982,10m,0h36,0h46,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
25S-3.2,Star,13h00,10.00,29-30.05.1982,9m,0h47,0h56,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
25S-2.3,Star,13h30,15.00,29-30.05.1982,10m,0h58,1h08,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
25S-3.3,Star,13h30,20.00,29-30.05.1982,10m,1h10,1h20,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
25S-2.4,Star,14h00,5.00,29-30.05.1982,10m,1h23,1h33,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
25S-3.4,Star,14h00,10.00,29-30.05.1982,11m,1h35,1h46,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
25S-2.5,Star,14h00,15.00,29-30.05.1982,7m,1h47,1h54,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
25S-3.5,Star,14h00,20.00,29-30.05.1982,9.5m,1h57,2h06.5,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
26S-2.1,Bradfield (C/2004 T4),,,17-18.12.1987,15m,19h40,19h55,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
26S-3.1,Bradfield (C/2004 T4),,,17-18.12.1987,15m,19h57,20h12,9x12,Большой Шмидт,Солодовников В.В.,0. брак,,,,,,,,,,,,,,
26S-2.2,Bradfield (C/2004 T4),,,17-18.12.1987,15m,20h15,20h30,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
26S-2.3,Bradfield (C/2004 T4),,,17-18.12.1987,40m,21h47,22h27,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
26S-3.2,Borrelly / 19P,,,17-18.12.1987,15m,1h49,2h04,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
26S-2.4,Borrelly / 19P,,,17-18.12.1987,40m,1h02,1h42,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
26S-1-st,Star(Del),,,17-18.12.1987,15m,19h18,19h33,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
26S-2-st,Star(Del),,,17-18.12.1987,40m,20h57,21h37,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
26S-1-cal,Calibrovka,,,17-18.12.1987,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
26S-2-cal,Calibrovka,,,17-18.12.1987,,,,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
27S-1-st,Pleiades(M45),03 43 25,23 57 36,23-24.12.1987,15m,1h35,1h50,9x12,Большой Шмидт,Солодовников В.В.,,,,,,,,,,,,,,,
