Идентификационный номер (номер коробки-номер пластины),OBJECT,RA,DEC   (градусы),DATE-OBS,exposition ,TIME-OBS (tзв-s),TIME-END,Т декретное ??? необходимо перевести в UT,SIZE,TELESCOPE,OBSERVER,COMMENTS,
16-2438-Cal,Calibrovka,,,23-24.07.1963,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 17C,  пластинки Kodak OaE + к.ф.2, калибровка к снимку  16-2538.",
16-2495-st,IC432-NGC2024 (по ядру туманности),05h40m,-01.30,20-21.12.1963,1h01m,03h07m,04h08m,03h07m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Kodak OaJ + ж.с.17(ж.ф.I),  стандарт к снимку 16-2495.",
16-2495-Cal,Calibrovka,,,20-21.12.1963,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Kodak OaJ + ж.с.17(ж.ф.I),  калибровка к снимку 16-2495.",
16-2495-clarity,Clarity-zeta-Ori  Прозрачность,05h40m,-01.56,20-21.12.1963,,,,,"3,0*4,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Kodak OaJ + ж.с.17(ж.ф.I),  прозрачность к снимку 16-2495.",
16-2506, M45   Плеяды,03h46m,24.07,18-19.01.1964,15m,02h54m,03h09m,02h54m,"8,4*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 2C,  пластинки Kodak OaO, имеет стандарт 16-2506-st, 25-2507-st и калибровку 26-2506-Cal.",
16-2507-st,Nebulae,03h22m,30.30,18-19.01.1964,5m,04h00m,04h05m,04h00m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 2C,  пластинки Kodak OaO, стандарт к снимкам 16-2506, 25-2507 и  26-2508.",
16-2508-st,Nebulae,03h42m,32.00,18-19.01.1964,5m,04h30m,04h35m,04h30m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 2C,  пластинки Kodak OaO, стандарт к снимкам 16-2506, 25-2507 и  26-2508.",
16-2506-Cal,Calibrovka,,,18-19.01.1964,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 2C,  пластинки Kodak OaO, калибровка к снимкам 16-2506, 25-2507 и  26-2508.",
16-2516-1-st,NGC1528-NGC1545,04h15m,51.12,11-12.02.1964,10m,05h23m,05h33m,05h23m,"8,5*8,5cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1C,  пластинки Kodak OaO, стандарт к снимку 16-2516.",
16-2516-Cal,Calibrovka,,,11-12.02.1964,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1C,  пластинки Kodak OaO, калибровка к снимку 16-2516, 17-2517.",
16-2517-1-st,M42-NGC1976 Большая туманность Ориона,05h35m,-05.23,11-12.02.1964,10m,05h56m,06h06m,05h56m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1C,  пластинки Kodak OaO, стандарт к снимку 17-2517.",
16-2548-st,NGC6910,20h20m,40.20,10-11.07.1964,14m,20h08m,20h22m,20h08m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,"t= + 24C,  пластинки Kodak OaO, стандарт к снимку 16-2548.",
16-2548-Cal,Calibrovka,,,10-11.07.1964,,,,,,,,"t= + 24C,  пластинки Kodak OaO, калибровка к снимку 16-2548.",
16-2551-st,NGC6823,19h43m,23.18,30-31.07.1964,14m,19h39m,19h53m,19h39m,"8,9*9,7cm",50cm менисковый телескоп Максутова,,"t= + 15C, пластинки Astro uns,  стандарт к снимку 16-2551.",
16-2551-Cal,Calibrovka,,,30-31.07.1964,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,,"t= + 15C, пластинки Astro uns,  калибровка к снимку 16-2551.",
16-2045-a,Комета Алькокка ( 1959E-Alcock),18h35m,-04.15,23-24.09.1959,7m,19h28m,19h33m,19h28m,"8,7*9,7cm",50cm менисковый телескоп Максутова,,t= + 16C.,
16-4097,BD+20.4116,19h25,20.00,09-10.07.1973,10m,19h27m,19h37m,19h27m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 17C, пластинки ZP3.",
16-4098,BD+20.4116,19h25,20.00,09-10.07.1973,10m,19h43m,19h53m,19h43m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 17C, пластинки ZP3.",
16-4099,BD+20.4116,19h25,20.00,11-12.07.1973,11m30s,17h59m30s,18h11m,17h59m30s,"8,7*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 23C, пластинки ZP3 + ж.ф.III.",
16-5000,BD+20.4116,19h25,20.00,11-12.07.1973,11m30s,18h17m,18h28m30s,18h17m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 23C, пластинки ZP3 + ж.ф.III.",
16-5013,Sky,20h21m,41.20,05-06.09.1973,10m,20h53m,21h03m,20h53m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 16C, пластинки ZP1 + o.c.11.",
16-5014,Sky,20h21m,41.20,05-06.09.1973,10m,21h11m,21h21m,21h11m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 16C, пластинки ZP1 + o.c.11.",
16-5106,Sky,17h14m,53.00,15-16.06.1975,1h,15h53m,16h53m,15h53m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 25C, пластинки ZP3 + ж.ф.III.",
16-5107,Sky,17h14m,53.00,15-16.06.1975,1h,17h24m,18h24m,17h24m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 25C, пластинки ZP3 + ж.ф.III.",
16-2546-Cal,Calibrovka,,,09-10.07.1954,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,,"t= + 21C, пластинки Astro uns spec,  калибровка к снимку 16-2546.",
16-3731-Cal,Calibrovka,,,08-09.06.1969,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 12C,  пластинки Kodak OaD + ж.ф.III, калибровка к снимку  3731.",
16-3773-Cal,Calibrovka,,,10-11.07.1969,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 17C,  пластинки Kodak OaO, калибровка к снимку 16-3773.",
16-3774-Cal,Calibrovka,,,12-13.07.1969,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 20C,  пластинки Kodak OaO, калибровка к снимку 16-3774.",
16-5104-Cal,Calibrovka,,,09-10.06.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.,"t= + 17C,  пластинки Kodak OaE + к.ф. 2, калибровка к снимку 16-5104.",
16-5114,Nebulae,15h38m,-07.00,09-10.07.1975,18m;18m;18m,17h00m,17h54m,17h00m,"8,2*8,2cm",50cm менисковый телескоп Максутова,,"t= + 26C, пластинки Kodak OaF + поляроид, имеет калибровку 16-5114-Cal.",
16-5114-Cal,Calibrovka,,,09-10.07.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,,"t= + 26C, пластинки Kodak OaF + поляроид, калибровка к снимку 16-5114.",
16-5116,Nebulae,15h38m,-07.00,10-11.07.1975,20m;20m;20m,16h53m,17h53m,16h53m,"8,2*8,2cm",50cm менисковый телескоп Максутова,,"t= + 28C, пластинки Kodak OaF + поляроид, имеет калибровку 16-5116-Cal.",
16-5116-Cal,Calibrovka,,,10-11.07.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,,"t= + 28C, пластинки Kodak OaF + поляроид, калибровка к снимку 16-5116.",
16-5118,Nebulae,15h38m,-07.00,11-12.07.1975,20m;20m;20m,16h56m,17h56m,16h56m,"8,2*8,2cm",50cm менисковый телескоп Максутова,,"t= + 23C, пластинки Kodak OaF + поляроид, имеет калибровку 16-5118-Cal.",
16-5118-Cal,Calibrovka,,,11-12.07.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,,"t= + 23C, пластинки Kodak OaF + поляроид, калибровка к снимку 16-5118.",
16-5148,NGC7635,23h20m,62.00,11-12.09.1975,51m,21h09m,22h00m,21h09m,"8,2*8,2cm",50cm менисковый телескоп Максутова,,"t= + 19C, пластинки Kodak OaF + поляроид, имеет калибровку 16-5148-Cal.",
16-5148-Cal,Calibrovka,,,11-12.09.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,,"t= + 19C, пластинки Kodak OaF + поляроид, калибровка к снимку 16-5148.",
16-5099-a,NGC2903,09h32m,21.29,10-11.04.1975,1h,11h33m,12h33m,11h33m,"8,2*8,2cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C, пластинки Kodak OaF + поляроид, имеет калибровку 16-5099-a-Cal.",
16-5099-a-Cal,Calibrovka,,,10-11.04.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C, пластинки Kodak OaF + поляроид, калибровка к снимку 16-5099-a.",
16-5108,NGC6888,20h12m,38.21,02-03.07.1975,1h,16h37m,17h37m,16h37m,"8,2*8,2cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 18C, пластинки Kodak OaF + поляроид, имеет калибровку 16-5108-Cal.",
16-5108-Cal,Calibrovka,,,02-03.07.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 18C, пластинки Kodak OaF + поляроид, калибровка к снимку 16-5108.",
16-1153,NGC7000,20h59m,44.31,23-24.10.1954,45m;45;45m,21h21m,23h51m,23h21m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 11C, пленка ГОСТ 1000 + поляроид, имеет две калибровки 16-1153-1-Cal и 16-1153-2-Cal.",
16-1153-1-Cal,Calibrovka,,,23-24.10.1954,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 11C, пленка ГОСТ 1000 + поляроид, калибровка к снимку 16-1153.",
16-1153-2-Cal,Calibrovka,,,23-24.10.1954,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 11C, пленка ГОСТ 1000 + поляроид, калибровка к снимку 16-1153.",
16-2501-st,IC432   (по ядру туманности),05h38m,-01.31,14-15.01.1964,50m,03h50m,04h40m,03h50m,"8,7*8,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 14C,  пластинки Kodak OaJ + ж.ф.I,  имеет прозрачность 16-2501-clarity.",
16-2501-clarity,Clarity-zeta-Ori  Прозрачность,05h40m,-01.56,14-15.01.1964,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 14C,  пластинки Kodak OaJ + ж.ф.I,  прозрачность к снимку  16-2501.",
16-5087,"M20-NGC6514   Трифид, Лагуна",18h02m,-23.02,08-09.08.1974,20m,18h25m,18h45m,18h25m,"6,0*6,0cm",50cm менисковый телескоп Максутова,Рожковский Д.А.   Городецкий Д.И.,"t= + 15C, пленка А 660 + к.ф.III, имеется стандарт 16-5088 и калибровка 16-5088-Cal.",
16-5088,"M20-NGC6514   Трифид, Лагуна",18h02m,-23.02,08-09.08.1974,20m,18h55m,19h15m,18h55m,"6,0*6,0cm",50cm менисковый телескоп Максутова,Рожковский Д.А.   Городецкий Д.И.,"t= + 15C, пленка А 660 + к.ф.III, стандарт  к снимку 16-5088.",
16-5087-Cal,Calibrovka,,,08-09.08.1974,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.   Городецкий Д.И.,"t= + 15C, пленка А 660 + к.ф.III,  калибровка к снимку  16-5087, 16-5088.",
16-5089,"M20-NGC6514   Трифид, Лагуна",18h02m,-23.02,10-11.08.1974,15m,17h57m,18h12m,17h57m,"6,0*6,0cm",50cm менисковый телескоп Максутова,Рожковский Д.А.   Городецкий Д.И.,"t= + 18C, пленка А 660 + к.ф.III, имеется стандарт 16-5091 и калибровка 16-5089-Cal.",
16-5090,"M20-NGC6514   Трифид, Лагуна",18h02m,-23.02,10-11.08.1974,15m,18h23m,18h38m,18h23m,"6,0*6,0cm",50cm менисковый телескоп Максутова,Рожковский Д.А.   Городецкий Д.И.,"t= + 18C, пленка А 660 + к.ф.III, имеется стандарт 16-5091 и калибровка 16-5089-Cal.",
16-5091,"M20-NGC6514   Трифид, Лагуна",18h02m,-23.02,10-11.08.1974,15m,18h49m,19h04m,18h49m,"6,0*6,0cm",50cm менисковый телескоп Максутова,Рожковский Д.А.   Городецкий Д.И.,"t= + 18C, пленка А 660 + к.ф.III, стандарт  к снимку 16-5089, 16-5090.",
16-5089-Cal,Calibrovka,,,10-11.08.1974,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.   Городецкий Д.И.,"t= + 18C, пленка А 660 + к.ф.III,  калибровка к снимку  16-5089, 16-5090, 16-5091.",
16-5099,Nebulae,15h38m,-07.00,13-14.04.1975,45m,14h10m,14h55m,14h10m,"8,4*8,4cm",50cm менисковый телескоп Максутова,Городецкий Д.И.    Рспаев Ф.,"t= + 10C,  пластинки Kodak OaE + поляроид,  имеет калибровку 16-5099-Cal.",
16-5099-Cal,Calibrovka,,,13-14.04.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.    Рспаев Ф.,"t= + 10C,  пластинки Kodak OaE + поляроид,  калибровка к снимку 16-5099.",
16-5110,Nebulae,15h38m,-07.00,07-08.07.1975,1h,16h59m,17h59m,16h59m,"8,4*8,4cm",50cm менисковый телескоп Максутова,Городецкий Д.И.    Рспаев Ф.,"t= + 20C,  пластинки Kodak OaF + поляроид,  имеет калибровку 16-5110-Cal.",
16-5111,"M20-NGC6514   Трифид, Лагуна",18h02m,-23.02,07-08.07.1975,18m,18h56m,19h14m,18h56m,"8,4*8,4cm",50cm менисковый телескоп Максутова,Городецкий Д.И.    Рспаев Ф.,"t= + 20C,  пластинки Kodak OaF + поляроид,  имеет калибровку 16-5110-Cal.",
16-5110-Cal,Calibrovka,,,07-08.07.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.    Рспаев Ф.,"t= + 20C,  пластинки Kodak OaF + поляроид,  калибровка к снимку 16-5100, 16-5111.",
16-5112,Nebulae,15h38m,-07.00,08-09.07.1975,1h,16h59m,17h59m,16h59m,"8,4*8,4cm",50cm менисковый телескоп Максутова,Городецкий Д.И.    Рспаев Ф.,"t= + 22C,  пластинки Kodak OaF + поляроид,  имеет калибровку 16-5112-Cal.",
16-5112-Cal,Calibrovka,,,08-09.07.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.    Рспаев Ф.,"t= + 20C,  пластинки Kodak OaF + поляроид,  калибровка к снимку 16-5112.",
16-5113,"M20-NGC6514   Трифид, Лагуна",18h02m,-23.02,08-09.07.1975,18m,18h34m,18h52m,18h34m,"8,4*8,4cm",50cm менисковый телескоп Максутова,Городецкий Д.И.    Рспаев Ф.,"t= + 22C,  пластинки Kodak OaF + поляроид.",
16-5115,"M20-NGC6514   Трифид, Лагуна",18h02m,-23.02,09-10.07.1975,18m,19h07m,19h25m,19h07m,"8,4*8,4cm",50cm менисковый телескоп Максутова,Городецкий Д.И.    Рспаев Ф.,"t= + 26C,  пластинки Kodak OaF + поляроид,  имеет калибровку 16-5115-Cal.",
16-5115-Cal,Calibrovka,,,09-10.07.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.    Рспаев Ф.,"t= + 26C,  пластинки Kodak OaF + поляроид,  калибровка к снимку 16-5115.",
16-5117,"M20-NGC6514   Трифид, Лагуна",18h02m,-23.02,10-11.07.1975,18m,18h20m,18h38m,18h20m,"8,4*8,4cm",50cm менисковый телескоп Максутова,Городецкий Д.И.    Рспаев Ф.,"t= + 28C,  пластинки Kodak OaF + поляроид,  имеет калибровку 16-5117-Cal.",
16-5117-Cal,Calibrovka,,,10-11.07.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Городецкий Д.И.    Рспаев Ф.,"t= + 28C,  пластинки Kodak OaF + поляроид,  калибровка к снимку 16-5117.",
16-5124,Nebulae,15h38m,-07.00,01-02.08.1975,40m,17h58m,18h38m,17h58m,"8,4*8,4cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 25C,  пластинки Kodak OaF + поляроид,  имеет калибровку 16-5124-Cal.",
16-5125,alpha-UMa,08h40m,63.00,01-02.08.1975,24m,19h16m,19h40m,19h16m,"8,4*8,4cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 25C,  пластинки Kodak OaF + поляроид,  имеет калибровку 16-5124-Cal.",
16-5124-Cal,Calibrovka,,,01-02.08.1975,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 25C,  пластинки Kodak OaF + поляроид,  калибровка к снимку 16-5124, 16-5125.",
17-1411,NGC1333,03h26m,31.12,15-16.09.1955,1h,00h05m,01h05m,00h05m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 12C,  пластинки Astro uns, имеется стандарт 24-1411-st и калибровка 24-1411-Cal.",
17-956,Ced14-BD+58.607,03h26m,58.42,09-10.12.1953,55m,07h09m,07h54m,07h09m,"8,9*8,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1.5C,  пластинки Astro uns.",
17-958,Ced14-BD+58.607,03h26m,58.42,25-26.12.1953,1h25m,02h01m,03h26m,02h01m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 3C,  пластинки Jsopan JSS.",
17-1415,Ced14-BD+58.607,03h26m,58.42,21-22.09.1955,1h,22h50m,23h50m,22h50m,"8,9*8,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Astro uns, имеется стандарт 17-1414-st и калибровки 17-1414-1-Cal, 17-1414-2-Cal",
17-1414-st,NPS (α UMi)   Полярная звезда,02h31m,89.15,21-22.09.1955,1h,00h06m,01h06m,00h06m,"8,9*8,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Astro uns, стандарт к снимку 17-1414, 17-1415, 17-1416.",
17-1420,Ced14-BD+58.607,03h26m,58.42,22-23.09.1955,1h,02h19m,03h19m,02h19m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 12C,  пластинки Astro uns+ ж.ф.3.",
17-663,IC348,03h42m,32.00,23-24.10.1952,1h,03h19m,04h19m,03h19m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 7.5C,  пластинки Astro uns.",
17-1417,IC348,03h42m,32.00,21-22.09.1955,1h,02h39m,03h39m,02h39m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 9C,  пластинки Astro uns + б.с.8.",
17-1437,McD34,03h32m,31.55,11-12.10.1953,30m,23h25m,23h55m,23h25m,"9,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5C,  пластинки Astro uns, имеется стандарт 17-1437-st и калибровкa 17-1437-Cal.",
17-952,GC4937,04h03m,27.30,09-10.12.1953,40m,01h41m,02h21m,01h41m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1.5C,  пластинки Astro uns.",
17-1463,GC4937,04h03m,27.30,19-20.10.1955,20m,00h38m,00h58m,00h38m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 9C,  пластинки Astro uns.",
17-1619,GC4937,04h03m,27.30,09-10.03.1956,20m,07h18m,07h38m,07h18m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 7.5C,  пластинки Astro uns.",
17-1961,GC4937,04h03m,27.30,08-09.02.1958,20m,05h59m,06h19m,05h59m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 4C,  пластинки Jlford zenit.",
17-1438,NGC1579,04h24m,35.16,11-12.10.1955,30m,00h05m,00h35m,00h05m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5C,  пластинки Astro uns, имеется стандарт 17-1437-st и калибровкa 17-1437-Cal.",
17-1444,NGC1579,04h24m,35.16,15-16.10.1955,20m,00h02m,00h22m,00h02m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 5C,  пластинки Astro uns.",
17-1730,NGC1579,04h24m,35.16,22-23.12.1956,20m,01h56m,02h16m,01h56m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 5C,  пластинки Jlford zenit, имеется стандарт 17-1730-st и калибровка 17-1730-Cal.",
17-1170,NGC2087,04h37m,25.38,19-20.11.1954,45m,02h21m,03h06m,02h21m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Astro uns, имеется стандарт 17-1449-st и калибровка 17-1449-Cal.",
17-1450,NGC1788,05h05m,-03.24,17-18.10.1955,20m,04h44m,05h04m,04h44m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Astro uns, имеется стандарт 17-1449-st и калибровка 17-1449-Cal.",
17-1456,NGC1788,05h05m,-03.24,18-19.10.1955,20m,04h36m,04h56m,04h36m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Astro uns, имеется стандарт 17-1455-st и калибровка 17-1455-1-Cal, 17-1455-2-Cal.",
17-1465,GC6574-Ced44,05h19m,08.23,20-21.10.1955,20m,05h34m,05h54m,05h34m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C,  пластинки Astro uns, имеется стандарт 17-1465-st и калибровка 17-1465-1-Cal, 17-1465-2-Cal.",
17-1719,GC6574-Ced44,05h19m,08.23,02-03.12.1956,1h,03h00m,04h00m,03h00m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 2.5C,  пластинки East 103aE + к.ф. III.",
17-1955,GC6574-Ced44,05h19m,08.23,15-16.12.1957,20m,03h09m,03h29m,03h09m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 3C,  пластинки Jlford zenit, имеется калибровка 13-1954-Cal.",
17-1960,GC6574-Ced44,05h19m,08.23,12-13.01.1958,20m,04h37m,04h57m,04h37m,"9,1*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 3C,  пластинки Jlford zenit, имеется калибровка 25-1959-Cal.",
17-2015,GC6574-Ced44,05h19m,08.23,28.02-01.03.1959,8m,09h12m,09h20m,09h12m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 0 C,  пластинки Kodak OaO.",
17-2017,GC6574-Ced44,05h19m,08.23,06-07.03.1959,8m,06h31m,06h39m,06h31m,"9,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 0 C,  пластинки Kodak OaO, имеется стандарт 17-2017-st и калибровка 17-2017-Cal.",
17-2789,GC6574-Ced44,05h19m,08.23,03-04.01.1965,15m,02h32m,02h47m,02h32m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 3.5C,  пластинки Astro spec, имеется стандарт 20-2787-st и калибровка 20-2787-Cal.",
17-1469,Nebulae,05h20m,-04.00,23-24.10.1955,20m,05h17m,05h37m,05h17m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 2C,  пластинки Astro uns, имеется стандарт 25-14697-st и калибровка 25-1469-Cal.",
17-1466,Nebulae,05h41m,06.01,20-21.10.1955,20m,05h58,06h18,05h58m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 8C,  пластинки Astro uns, имеется стандарт 17-1465-st и калибровка 17-1465-1-Cal, 17-1465-2-Cal.",
17-1425,M78-NGC2068-IC434,05h46m,00.04,24-25.09.1955,40m,03h33m,04h13m,03h33m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 15C,  пластинки Astro uns, имеется стандарт 17-1425-st и калибровка 17-1425-Cal.",
17-1451,M78-NGC2068-IC434,05h46m,00.04,17-18.10.1955,20m,05h12m,05h32m,05h12m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Astro uns, имеется стандарт 17-1449-st и калибровка 17-1449-Cal.",
17-1449,Nebulae,05h40m,13.00,17-18.10.1955,20m,04h16m,04h36m,04h16m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Astro uns, имеется стандарт 17-1449-st и калибровка 17-1449-Cal.",
17-1455,Nebulae,05h40m,13.00,18-19.10.1955,20m,04h06m,04h26m,04h06m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 10C,  пластинки Astro uns, имеется стандарт 17-1455-st и калибровка 17-1455-1-Cal, 17-1455-2-Cal.",
17-1452,Nebulae,06h07m,-06.40,17-18.10.1955,20m,05h40m,06h00m,05h40m,"9,0*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Astro uns, имеется стандарт 17-1449-st и калибровка 17-1449-Cal.",
17-1458,Nebulae,06h07m,-06.40,18-19.10.1955,20m,05h33m,05h53m,05h33m,"8,9*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 6C,  пластинки Astro uns, имеется стандарт 17-1455-st и калибровка 17-1455-1-Cal, 17-1455-2-Cal.",
17-2517,Nebulae NGC2185,06h08m,-06.12,11-12.02.1964,10m,05h41m,05h51m,05h41m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= + 1C,  пластинки Kodak OaO, имеет стандарт 16-2517-1-st  и калибровку 16-2516-Cal.",
17-1581,Nebulae,06h31m,-03.30,18-19.01.1955,20m,07h10m,07h30m,07h10m,"9,0*9,7cm",50cm менисковый телескоп Максутова,,"t= - 10.5C,  пластинки Astrouns, имеется  калибровка 17-1580-Cal.",
17-1582,Nebulae,07h04m,-03.25,18-19.01.1955,20m,07h52m,08h12m,07h52m,"9,0*9,7cm",50cm менисковый телескоп Максутова,,"t= - 10.5C,  пластинки Astro uns, имеется  калибровка 17-1580-Cal.",
17-1580-Cal,Calibrovka,,,18-19.01.1955,,,,,"3,0*9,7cm",50cm менисковый телескоп Максутова,,"t= - 10.5C,  пластинки Astrouns,  калибровка  к снимку 17-1581, 17-1582, 19-1580.",
17-1959,NGC2264   Скопление Снежинки,06h40m,09.53,12-13.01.1958,20m,03h33m,04h13m,03h33m,"9,1*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 3C,  пластинки Jlford zenit + поляроид, имеется калибровка 25-1959-Cal.",
17-1962,NGC2264   Скопление Снежинки,06h40m,09.53,08-09.02.1958,30m,06h30m,07h00m,06h30m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 4C,  пластинки Jlford zenit + поляроид.",
17-1966,NGC2264   Скопление Снежинки,06h40m,09.53,10-11.02.1958,30m,06h09m,06h39m,06h09m,"8,7*9,7cm",50cm менисковый телескоп Максутова,Рожковский Д.А.,"t= - 1C,  пластинки Kodak 103aO + поляроид.",
