ID,OBJECT,OBJECT-TYPE,RA,DEC,EQ-ORIG,DATE-OBS,EXPTIME,TMS-LST,TME-LST,TMS-LT,TME-LT,SIZE,TELESCOPE,OBSERVER,"TEMPERAT, C",SKYCOND,OBSNOTE,DETNAME,EMULSION,METHOD,FOCUS,NOTES,SCANNOTE,FILTER,PLATNOTE
1-1638,Crommelin 1928 III ,comet,7h22.5,51.33,,12-13.09.1956,10m,3h54m,4h04m,3h54m,,8.9*9.7 ,50cm менисковый телескоп Максутова,,15,,U=-7m49s,photographic plate,Jsoh JSS,,,,,,
1-137,Arend-Rigo,comet,7h53m,31.48,,4-5.03.1951,9m; 9m,6h25m; 6h54m,6h34m; 7h03m,6h25m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-8,,U=-5m.4,photographic plate, Astro platten  пластинка разбита,, .55,,,,пластинка разбита
1-185,Paiduskova comet,comet,6h35m,34.26,,25-26.04.1951,10m.5; 10m,10h49m.5; 11h17m,11h00m; 11h27m,10h49m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-8,,U=-5m.4,photographic plate, Astro platten  пластинка разбита,, .55,,,,пластинка разбита
1-286,Neujmin 3,comet,22h55m,-5.57,,27-28.08.1951,12m; 12m,21h11m.5; 21h54m,21h23m.5; 22h06m,21h23m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,12,,U=-5m.4,,,, .82,,,,
2-436,DuBois 1942 VII ,comet,14h35m,-17.24,,23-24.03.1952,11m,13h54m,14h05m,13h54m,,9.7*9.7 ,50cm менисковый телескоп Максутова,,-1,,U=-1m.42s.5,,,, .60.5,,,,
2-440,Schaumasse 1951,comet,11h59m,45.50,,24-25.03.1952,20m,12h56m.5,13h16m.5,12h56m,,9.7*9.7 ,50cm менисковый телескоп Максутова,,4,,U=-1m,,,,,,,,
2-441,Delporte-Neujmin-DuBois-1942VII,comet,14h35m,-17.20,,24-25.03.1952,20m; 20m;20m,13h26m; 15h04m,13h46m; 15h24m,13h26m,,9.7*9.7 ,50cm менисковый телескоп Максутова,,4,,U=-1m,,,,,,,,
2-447,Delporte-Neujmin-DuBois-1942VII,comet,14h32m,-17.05,,31.03-01.04.1952,21m.5,15h01m,15h21m.5,15h01m,,9.7*9.7 ,50cm менисковый телескоп Максутова,,9,,,,,, .70,,,,
2-453,Delporte-Neujmin-DuBois-1942VII,comet,14h27m,-16.20,,14-15.04.1952,10m; 10m,12h29m; 13h25m,12h39m; 13h35m,12h29m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,14,,,,,, .71,,,,
2-835,Harrington,comet,33h41m.6,-12.18,,20-21.08.1953,23m,23h13m,23h36m,23h13m,,8.9*9.7 ,50cm менисковый телескоп Максутова,,15," прозрачность плохая,  тонкая облачная пелена, изображения дрожат",,,,,,,,,
2-836,Harrington,comet,33h41m.6,-12.18,,20-21.08.1953,40m,0h46m,1h26m,0h46m,,8.9*9.7 ,50cm менисковый телескоп Максутова,,15," прозрачность плохая,  небо очищается,  изображения дрожат",,,,,,,,,
2-863,Harrington,comet,23h47m,-15.00,,3-4.09.1953,20m; 20m,23h16m; 23h46m,23h36m; 24h06m,23h16m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,21, прозрачность средняя,,photographic plate,Jsoh JSS (очуствленные) б/ф,,,,,б/ф,
2-866,Harrington,comet,23h47m,-15.00,,4-5.09.1953,20m,20h20m,20m40m,20h20m,,8.9*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,24," прозрачность средняя,  ясно,  изображение немного дрожит",,photographic plate,Agfa panchrom (очуствленные) б/ф,,,,,б/ф,
2-904,Harrington,comet,23h58m,-24.23,,7-8.10.1953,20m; 20m,22h04m; 22h43m,22h24m; 23h03m,22h04m,,8.7*9.2 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,4,,U=+13s,film,"пленка ""Изохром""",,,,,,
2-922,Harrington,comet,23h56m,-28.00,,29-30.10.1953,30m; 30m,23h49m; 0h20m,0h19m; 0h50m,23h49m,,8.7*9.2 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,0.8,,U=0s,film,"пленка ""Изохром""",,,,,,
2-730,Jackson-Neujmin,comet,17h54m,-12.00,,12-13.02.1953,40m,14h07m,14h47m,14h07m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,0,,U=+17s,photographic plate,Jsoh JSS (очуствленные),,,,,,
2-865,Pons-Brooks-1953C,comet,,,,4-5.09.1953,20m,19h24m,19h44m,19h24m,,8.7*9.2 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,24," прозрачность средняя,  ясно,  изображение немного дрожит",,photographic plate,Agfa panchrom (очуствленные) б/ф,,,,,б/ф,
2-881,Pons-Brooks-1953C,comet,17h24m.6,46.48,,11-12.09.1953,20m; 20m,21h10m; 21h32m.5,21h30m; 21h52m.5,21h10m,,8.7*9.2 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,, прозрачность плохая,U==2m48s,,,,,,,,
2-927,Pons-Brooks-1953C,comet,17h54m.5,37.47,,10-11.11.1953,26m; 26m,21h59m; 22h36m,22h25m; 23h02m,21h59m,,8.7*9.2 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-10,  ясно,,,,,,,,,
2-860,Brooks-2,comet,17h28m,48.30,,1-2.09.1953,24m; 20m,19h38m; 20h06m,20h02m; 20h26m,19h38m,,8.7*9.2 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,24, прозрачность хорошая,,film,"пленка ""Изохром"" через стекло.",,,,,стекло,
2-871,Brooks-2,comet,17h25m,47.00,,9-10.09.1953,20m; 20m,22h14m; 22h37m,22h34m; 22h57m,22h14m,,9.2*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,16.5," прозрачность средняя, ветер",,photographic plate,Agfa panchrom (очуствленные) б/ф,метод Меткофа,,,,б/ф,
2-940,Brooks-2,comet,3h53m,10.40,,3-4.12.1953,30m; 30m,3h03m;  3h35m,3h33m; 3h35m ,3h03m,,9.7*9.7 ,50cm менисковый телескоп Максутова,Рожковский Д.А.,-5,,,photographic plate,Isopan ISS,метод Меткофа-Блажко,,,,,
